Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Month,Dayofweek,Predicted_Sales,Stock,Risk
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,2,4,1616231.254800002,1808059.99,Overstock
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,2,4,1633671.5482999992,1806153.1840000001,Overstock
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,2,4,1604845.5027,1773164.987,Overstock
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,2,4,1482436.0318000019,1550700.3490000002,Overstock
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,3,4,1514421.539400003,1710287.348,Overstock
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,3,4,1466135.4595000027,1583495.7490000003,Overstock
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,3,4,1472143.9585000013,1619767.3690000002,Overstock
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,3,4,1438812.8477000012,1544872.912,Overstock
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,4,4,1552434.5932000005,1754465.1080000002,Overstock
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,4,4,1503286.3329000007,1699960.3830000001,Overstock
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,4,4,1458686.8911000008,1612664.1080000002,Overstock
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,4,4,1438290.517600001,1530381.7320000003,Overstock
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,4,4,1452263.1912999994,1567610.7810000002,Overstock
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,5,4,1556446.9438000012,1764350.6320000002,Overstock
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,5,4,1512562.2624000006,1643676.6500000001,Overstock
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,5,4,1456501.1334999981,1539628.2770000002,Overstock
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,5,4,1468211.8037000007,1575276.945,Overstock
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,6,4,1571512.7892999991,1777077.181,Overstock
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,6,4,1523390.499600002,1696817.1990000003,Overstock
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,6,4,1478363.0534000003,1653612.4660000002,Overstock
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,6,4,1437228.3305999981,1564982.7600000002,Overstock
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,7,4,1499546.4499999988,1641659.954,Overstock
1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,7,4,1515964.7543000015,1700681.598,Overstock
1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,7,4,1441742.9834000007,1593832.8120000002,Overstock
1,2010-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787,7,4,1408910.3984000012,1523571.72,Overstock
1,2010-07-30,1371986.6,0,81.84,2.64,211.3699032,7.787,7,4,1409435.6254999978,1509185.2600000002,Overstock
1,2010-08-06,1605491.78,0,87.16,2.627,211.5046621,7.787,8,4,1546298.7825000007,1766040.958,Overstock
1,2010-08-13,1508237.76,0,87.0,2.692,211.6394211,7.787,8,4,1522431.8690000009,1659061.536,Overstock
1,2010-08-20,1513080.49,0,86.65,2.664,211.6033633,7.787,8,4,1505466.7432999993,1664388.539,Overstock
1,2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787,8,4,1446261.1733000008,1594057.212,Overstock
1,2010-09-03,1540163.53,0,81.21,2.577,211.5312479,7.787,9,4,1495220.0232000006,1694179.8830000001,Overstock
1,2010-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,9,4,1513587.729499999,1658206.759,Overstock
1,2010-09-17,1430378.67,0,82.11,2.582,211.5224596,7.787,9,4,1452381.0690000004,1573416.537,Overstock
1,2010-09-24,1351791.03,0,80.94,2.624,211.5972246,7.787,9,4,1408783.8641000008,1486970.1330000001,Overstock
1,2010-10-01,1453329.5,0,71.89,2.603,211.6719895,7.838,10,4,1440452.7952000007,1598662.4500000002,Overstock
1,2010-10-08,1508239.93,0,63.93,2.633,211.7467544,7.838,10,4,1488670.692200002,1659063.923,Overstock
1,2010-10-15,1459409.1,0,67.18,2.72,211.8137436,7.838,10,4,1441238.7710999988,1605350.0100000002,Overstock
1,2010-10-22,1345454.0,0,69.86,2.725,211.8612937,7.838,10,4,1378810.4663,1479999.4000000001,Overstock
1,2010-10-29,1384209.22,0,69.64,2.716,211.9088438,7.838,10,4,1399866.1714999997,1522630.142,Overstock
1,2010-11-05,1551659.28,0,58.74,2.689,211.9563939,7.838,11,4,1534143.2346000008,1706825.208,Overstock
1,2010-11-12,1494479.49,0,59.61,2.728,212.003944,7.838,11,4,1523775.9634999996,1643927.439,Overstock
1,2010-11-19,1483784.18,0,51.41,2.771,211.8896737,7.838,11,4,1517783.211200002,1632162.598,Overstock
1,2010-11-26,1955624.11,1,64.52,2.735,211.7484333,7.838,11,4,1802840.646000002,2151186.521,Overstock
1,2010-12-03,1548033.78,0,49.27,2.708,211.607193,7.838,12,4,1627979.8653000016,1702837.158,Overstock
1,2010-12-10,1682614.26,0,46.33,2.843,211.4659526,7.838,12,4,1713323.3831000002,1850875.6860000002,Overstock
1,2010-12-17,1891034.93,0,49.84,2.869,211.4053124,7.838,12,4,1857788.2334000024,2080138.4230000002,Overstock
1,2010-12-24,2387950.2,0,52.33,2.886,211.4051222,7.838,12,4,2129800.3096999987,2626745.22,Overstock
1,2010-12-31,1367320.01,1,48.43,2.943,211.4049321,7.838,12,4,1612983.8859000003,1504052.0110000002,Understock
1,2011-01-07,1444732.28,0,48.27,2.976,211.4047419,7.742,1,4,1428664.6149000002,1589205.5080000001,Overstock
1,2011-01-14,1391013.96,0,35.4,2.983,211.4574109,7.742,1,4,1418193.3417999991,1530115.3560000001,Overstock
1,2011-01-21,1327405.42,0,44.04,3.016,211.8272343,7.742,1,4,1349628.5221000009,1460145.962,Overstock
1,2011-01-28,1316899.31,0,43.83,3.01,212.1970577,7.742,1,4,1347426.0915000013,1448589.2410000002,Overstock
1,2011-02-04,1606629.58,0,42.27,2.989,212.5668812,7.742,2,4,1594271.1711000013,1767292.5380000002,Overstock
